run_tag,strategy,profile,concurrency,endpoint,method,requests,failures,rps,avg_ms,p50_ms,p95_ms,p99_ms
atomic_update_write_heavy_c20_rep1,atomic_update,write_heavy,20,/metrics/consistency [GET],GET,47,0,11.71,44.23,48.0,71.0,100.0
atomic_update_write_heavy_c20_rep1,atomic_update,write_heavy,20,/reservations/:id/release [POST],POST,123,0,30.64,48.94,51.0,79.0,110.0
atomic_update_write_heavy_c20_rep2,atomic_update,write_heavy,20,/items [GET],GET,1088,0,77.44,42.73,43.0,61.0,79.0
atomic_update_write_heavy_c20_rep2,atomic_update,write_heavy,20,/items/:id [GET],GET,1189,0,84.63,39.14,40.0,55.0,66.0
atomic_update_write_heavy_c20_rep2,atomic_update,write_heavy,20,/items/:id/reserve [POST],POST,1365,38,97.16,55.23,56.0,75.0,88.0
atomic_update_write_heavy_c20_rep2,atomic_update,write_heavy,20,/metrics/consistency [GET],GET,197,0,14.02,54.73,57.0,71.0,98.0
atomic_update_write_heavy_c20_rep2,atomic_update,write_heavy,20,/reservations/:id/release [POST],POST,376,0,26.76,62.75,64.0,83.0,120.0
atomic_update_write_heavy_c50_rep1,atomic_update,write_heavy,50,/items [GET],GET,1184,0,84.5,136.63,140.0,160.0,200.0
atomic_update_write_heavy_c50_rep1,atomic_update,write_heavy,50,/items/:id [GET],GET,1172,0,83.64,131.88,130.0,160.0,190.0
atomic_update_write_heavy_c50_rep1,atomic_update,write_heavy,50,/items/:id/reserve [POST],POST,1354,45,96.63,150.8,150.0,180.0,210.0
atomic_update_write_heavy_c50_rep1,atomic_update,write_heavy,50,/metrics/consistency [GET],GET,170,0,12.13,153.8,150.0,190.0,420.0
atomic_update_write_heavy_c50_rep1,atomic_update,write_heavy,50,/reservations/:id/release [POST],POST,368,0,26.26,156.28,160.0,180.0,200.0
atomic_update_write_heavy_c50_rep2,atomic_update,write_heavy,50,/items [GET],GET,1194,0,85.08,131.85,140.0,160.0,170.0
atomic_update_write_heavy_c50_rep2,atomic_update,write_heavy,50,/items/:id [GET],GET,1163,0,82.87,130.25,130.0,150.0,170.0
atomic_update_write_heavy_c50_rep2,atomic_update,write_heavy,50,/items/:id/reserve [POST],POST,1442,44,102.75,147.02,150.0,170.0,180.0
atomic_update_write_heavy_c50_rep2,atomic_update,write_heavy,50,/metrics/consistency [GET],GET,199,0,14.18,146.74,150.0,180.0,200.0
atomic_update_write_heavy_c50_rep2,atomic_update,write_heavy,50,/reservations/:id/release [POST],POST,357,0,25.44,154.53,160.0,180.0,190.0
atomic_update_write_heavy_c5_rep1,atomic_update,write_heavy,5,/items [GET],GET,192,0,48.04,8.23,8.0,12.0,14.0
atomic_update_write_heavy_c5_rep1,atomic_update,write_heavy,5,/items/:id [GET],GET,183,0,45.79,6.97,7.0,10.0,13.0
atomic_update_write_heavy_c5_rep1,atomic_update,write_heavy,5,/items/:id/reserve [POST],POST,230,6,57.55,12.26,12.0,17.0,18.0
atomic_update_write_heavy_c5_rep1,atomic_update,write_heavy,5,/metrics/consistency [GET],GET,31,0,7.76,12.55,12.0,16.0,17.0
atomic_update_write_heavy_c5_rep1,atomic_update,write_heavy,5,/reservations/:id/release [POST],POST,65,0,16.26,13.59,14.0,18.0,21.0
atomic_update_write_heavy_c5_rep2,atomic_update,write_heavy,5,/items [GET],GET,568,0,49.88,8.39,8.0,13.0,17.0
atomic_update_write_heavy_c5_rep2,atomic_update,write_heavy,5,/items/:id [GET],GET,552,24,48.48,7.21,7.0,11.0,14.0
atomic_update_write_heavy_c5_rep2,atomic_update,write_heavy,5,/items/:id/reserve [POST],POST,635,64,55.76,12.63,12.0,18.0,23.0
atomic_update_write_heavy_c5_rep2,atomic_update,write_heavy,5,/metrics/consistency [GET],GET,81,1,7.11,12.73,12.0,17.0,18.0
atomic_update_write_heavy_c5_rep2,atomic_update,write_heavy,5,/reservations/:id/release [POST],POST,163,1,14.31,14.99,14.0,19.0,65.0
pessimistic_lock_mixed_c100_rep1,pessimistic_lock,mixed,100,/items [GET],GET,1024,0,73.02,321.78,320.0,460.0,620.0
pessimistic_lock_mixed_c100_rep1,pessimistic_lock,mixed,100,/items/:id [GET],GET,1029,0,73.38,323.53,310.0,480.0,600.0
pessimistic_lock_mixed_c100_rep1,pessimistic_lock,mixed,100,/items/:id/reserve [POST],POST,1297,41,92.49,344.95,330.0,510.0,740.0
pessimistic_lock_mixed_c100_rep1,pessimistic_lock,mixed,100,/metrics/consistency [GET],GET,161,0,11.48,329.87,330.0,470.0,600.0
pessimistic_lock_mixed_c100_rep1,pessimistic_lock,mixed,100,/reservations/:id/release [POST],POST,318,0,22.68,351.03,340.0,540.0,610.0
pessimistic_lock_mixed_c100_rep2,pessimistic_lock,mixed,100,/items [GET],GET,1091,0,77.81,318.34,310.0,460.0,650.0
pessimistic_lock_mixed_c100_rep2,pessimistic_lock,mixed,100,/items/:id [GET],GET,1074,0,76.6,314.02,310.0,460.0,600.0
pessimistic_lock_mixed_c100_rep2,pessimistic_lock,mixed,100,/items/:id/reserve [POST],POST,1259,40,89.79,332.09,330.0,470.0,640.0
pessimistic_lock_mixed_c100_rep2,pessimistic_lock,mixed,100,/metrics/consistency [GET],GET,185,0,13.19,321.53,320.0,440.0,530.0
pessimistic_lock_mixed_c100_rep2,pessimistic_lock,mixed,100,/reservations/:id/release [POST],POST,329,0,23.46,334.3,330.0,460.0,540.0
pessimistic_lock_mixed_c20_rep1,pessimistic_lock,mixed,20,/items [GET],GET,386,0,96.51,34.29,37.0,56.0,64.0
pessimistic_lock_mixed_c20_rep1,pessimistic_lock,mixed,20,/items/:id [GET],GET,312,0,78.0,31.48,34.0,50.0,57.0
pessimistic_lock_mixed_c20_rep1,pessimistic_lock,mixed,20,/items/:id/reserve [POST],POST,388,11,97.01,47.3,52.0,72.0,79.0
